A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
,,,0.878,,,0.20672954,7,,,,,,,,0.502,2.347085833,2.751434824,0.162,MBA,2650.932061,0,58779,96,,,0.172277036,2457000.5,20141209,57000,J2000,,,1853-11-10,27 Euterpe,1.583704563,a0000027,10/16/14,256.5655474,0.959082,373.2459419,0.274100997,,,2177,Euterpe,N,94.80012235,JPL 85,27,1313.384495,3.595850774,N,,3.10E-45,Otto Matic,2.00E-46,,1.942736843,0.58283,10.4082,-22708340000,6.20E-57,2.59E-09,3.04E-09,2.48E-08,2.79E-06,8.98E-06,4.54E-10,9.85E-05,2.17E-06,5.80E-08,3.30E-05,9.88E-05,S,S,S,2000027,3.54,2457377.859,20151221.36,,356.5401821
,,,0.845,,,0.17516625,7.09,,,,,,,,0.469,2.775241802,3.195560259,0.1763,MBA,2640.609285,0,57738,120.9,3.4,,0.151452914,2457000.5,20141209,57000,J2000,,,1856-09-29,28 Bellona,9.433338631,a0000028,10/29/14,291.8706534,1.37125,533.6493625,0.213183128,,,1905,Bellona,N,144.3243204,JPL 80,28,1688.688981,4.623378456,N,,2.63E-45,Otto Matic,1.69E-46,,2.354923346,0.61387,15.706,-19241250000,5.25E-57,5.76E-09,6.63E-09,2.85E-08,3.58E-06,9.22E-06,6.64E-10,1.60E-05,5.26E-06,7.98E-08,4.36E-05,1.81E-05,S,S,S,2000028,3.299,2457320.081,20151024.58,,344.6164586
,,,0.838,,0.2,0.850242862,5.85,,,,,,,,0.449,2.555143367,2.739400347,0.1793,MBA,2644.847357,0,57626,212.22,6.8,,0.072112189,2457000.5,20141209,57000,J2000,,,1855-07-25,29 Amphitrite,6.089382103,a0000029,5/3/13,259.5342282,1.38906,540.5804802,0.241313248,,,1852,Amphitrite,N,356.4215367,JPL 139,29,1491.83687,4.084426749,N,,1.27E-44,Davide Farnocchia,8.22E-46,,2.370886386,0.66549,5.3921,-93395476923,2.55E-56,3.91E-09,4.19E-09,3.23E-08,3.25E-06,2.65E-05,5.54E-10,3.37E-05,3.43E-06,8.27E-08,0.00010982,4.35E-05,S,S,S,2000029,3.426,2457416.829,20160129.33,,61.92412806
,,,0.873,,,0.15027596,7.57,,,,,,,,0.459,2.365719752,2.665576578,0.1714,MBA,2649.969811,0,56486,100.15,2.4,,0.126750781,2457000.5,20141209,57000,J2000,,,1860-02-22,30 Urania,2.098030468,a0000030,10/18/14,316.2946747,1.07322,417.6650274,0.270868891,,,2551,Urania,N,307.6332261,JPL 89,30,1329.056277,3.638757773,N,,2.25E-45,Otto Matic,1.46E-46,,2.065862927,0.52824,13.686,-16507160000,4.50E-57,3.28E-09,3.70E-09,2.64E-08,3.15E-06,1.24E-05,5.63E-10,8.49E-05,2.76E-06,6.20E-08,4.57E-05,8.62E-05,Sl,Sl,S,2000030,3.536,2457161.852,20150519.35,,86.7185862
,,,0.687,,,1.110887675,6.74,,,,,,,,0.317,3.155201728,3.855609331,0.0543,MBA,2634.478016,0,56199,255.9,11.5,,0.221985047,2457000.5,20141209,57000,J2000,,,1860-10-25,31 Euphrosyne,26.30568688,a0000031,9/7/14,165.9070882,1.56609,609.4752453,0.175858505,,,1454,Euphrosyne,N,31.1440361,JPL 71,31,2047.100307,5.604655188,N,,1.43324E+11,Otto Matic,9206978729,,2.454794125,0.58083,5.53,-1.20459E+11,131.7439008,7.44E-09,9.09E-09,2.72E-08,4.42E-06,9.50E-06,6.22E-10,7.08E-06,7.24E-06,8.60E-08,5.23E-05,1.25E-05,Cb,Cb,C,2000031,3.01,2456057.088,20120509.59,,61.4317815
,,,0.857,,,,7.56,,,,,,,,0.429,2.587288303,2.794690913,0.2564,MBA,2644.13626,0,54931,80.76,1.6,,0.080162157,2457000.5,20141209,57000,J2000,,,1864-01-07,32 Pomona,5.523991801,a0000032,5/31/14,13.74841253,1.37916,536.7276972,0.236830066,,,1439,Pomona,N,220.4569972,JPL 85,32,1520.077268,4.161744746,N,,9.34E-38,Otto Matic,6.02E-39,,2.379885693,0.67983,9.448,-6.85E+17,1.87E-49,7.36E-09,7.95E-09,3.75E-08,4.40E-06,2.46E-05,1.01E-09,4.64E-05,6.48E-06,9.67E-08,0.00010379,5.26E-05,S,S,S,2000032,3.41,2456942.448,20141011.95,,338.8942281
,,,0.848,,0.33,0.413726,8.55,,,,,,,,0.438,2.867401852,3.832785069,,MBA,2642.257596,0,57981,,,,0.336675244,2457000.5,20141209,57000,J2000,66.90820077,,1856-01-25,33 Polyhymnia,1.868771357,a0000033,10/24/14,18.26887148,0.895706,348.581904,0.202988405,,,1610,Polyhymnia,N,8.577490649,JPL 17,33,1773.500311,4.855579223,N,,6.20E-45,Otto Matic,3.99E-46,,1.902018635,0.60265,18.608,-45446000000,1.24E-56,6.81E-09,9.10E-09,4.74E-08,5.32E-06,7.14E-06,7.23E-10,0.00014391,6.32E-06,1.36E-07,3.51E-05,0.00014423,Sq,Sq,S,2000033,3.212,2456910.5,20140910,,338.0973741
,,,0.707,,,0.24323085,8.51,,,,,,,,0.357,2.68792941,2.969080764,0.0541,MBA,2642.025322,0,54936,113.54,3.3,,0.104597744,2457000.5,20141209,57000,J2000,,,1864-04-28,34 Circe,5.497750423,a0000034,9/25/14,129.0952168,1.41876,552.1388292,0.223654317,,,1865,Circe,N,184.4291251,JPL 54,34,1609.626879,4.406918218,N,,31424767138,Otto Matic,2024477891,,2.406778057,0.57803,12.15,-26221473900,132.1212661,6.81E-09,7.52E-09,2.42E-08,2.60E-06,1.74E-05,8.50E-10,3.93E-05,6.12E-06,6.52E-08,7.77E-05,4.27E-05,Ch,Ch,C,2000034,3.359,2456423.291,20130510.79,,330.4261856
,,,0.703,,,,8.5,,,,,,,,0.335,2.991917072,3.670791322,0.0662,MBA,2637.457263,0,56468,103.11,2.7,,0.226902763,2457000.5,20141209,57000,J2000,,,1860-03-11,35 Leukothea,7.934566209,a0000035,10/18/14,270.6854792,1.31551,511.9570267,0.19044946,,,1814,Leukothea,N,353.7693065,JPL 24,35,1890.265268,5.175264253,N,,8.54E+17,Otto Matic,5.49E+16,,2.313042822,0.57767,31.9,-7.12E+17,131.8928632,8.98E-09,1.10E-08,3.15E-08,4.27E-06,1.11E-05,8.58E-10,2.84E-05,8.51E-06,9.52E-08,5.96E-05,3.01E-05,C,C,C,2000035,3.202,2457469.467,20160321.97,,213.4598144
,,,0.713,,,0.2882736,8.46,,,,,,,,0.363,2.749268879,3.579911297,0.0654,MBA,2643.776388,0,54302,105.61,4,,0.302132114,2457000.5,20141209,57000,J2000,,,1866-02-08,36 Atalante,18.4254474,a0000036,10/12/14,314.7511613,0.967474,376.5118566,0.216211231,,,979,Atalante,N,358.4140077,JPL 72,36,1665.038389,4.558626663,N,,37244168459,Otto Matic,2400971453,,1.918626462,0.53757,9.93,-31077302400,132.2088194,1.07E-08,1.39E-08,5.24E-08,6.14E-06,9.07E-06,1.26E-09,1.33E-05,9.71E-06,1.45E-07,4.28E-05,1.63E-05,C,,C,2000036,3.207,2457209.781,20150706.28,,46.97877314
