A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
,,,,,,,11.9,,,,,,,,,2.307358039,2.720438039,0.1142,MBA,2675.979424,0,42498,17.65,1.3,8.73497,0.179027265,2457000.5,20141209,57000,J2000,,,1898-02-11,428 Monachia (1897 DK),6.199311851,a0000428,6/21/14,158.828396,0.90067,350.5137439,0.281210536,,,1470,Monachia,N,17.63204648,JPL 13,428,1280.17963,3.504940808,N,,0,Otto Matic,0,1897 DK,1.89427804,0.51594,3.63384,-5.27566E+15,0,7.73E-09,9.12E-09,4.58E-08,5.12E-06,1.32E-05,1.41E-09,3.84E-05,6.44E-06,1.05E-07,4.56E-05,4.03E-05,?,,,2000428,3.558,2456435.698,20130523.2,,15.54221069
,,,0.741,,,,9.82,,,,,,,,0.346,2.607762365,2.92880413,0.043,MBA,2648.8307,0,41268,69.62,1.5,9.921153,0.123110054,2457000.5,20141209,57000,J2000,,,1901-10-12,429 Lotis (1897 DL),9.532391941,a0000429,10/7/14,308.7658497,1.29265,503.0606005,0.234046448,,,1634,Lotis,N,219.9875218,JPL 74,429,1538.156223,4.211242225,N,,2.63E+17,Otto Matic,2.05E+16,1897 DL,2.2867206,0.53247,13.577,-2.19E+17,132.461535,1.05E-08,1.18E-08,4.03E-08,4.86E-06,1.87E-05,1.42E-09,2.68E-05,9.32E-06,1.05E-07,8.03E-05,3.21E-05,C,,C,2000429,3.381,2457219.406,20150715.91,,167.9612493
,,,,,,,11,,,,,,,,,2.843558332,3.570500969,0.1206,MBA,2644.242708,0,28821,33.33,0.9,10.173292,0.25564541,2457000.5,20141209,57000,J2000,,,9/22/35,430 Hybris (1897 DM),14.59996218,a0000430,8/19/14,149.8845897,1.13046,439.9411182,0.205546867,,,1015,Hybris,N,249.4485362,JPL 11,430,1751.425383,4.795141363,N,,0,Otto Matic,0,1897 DM,2.116615696,0.50989,7.205,-3.55E+16,0,1.35E-08,1.69E-08,4.63E-08,5.91E-06,8.89E-06,1.46E-09,2.03E-05,1.25E-05,1.30E-07,4.32E-05,2.33E-05,?,,,2000430,3.213,2456271.301,20121209.8,,179.0657736
,,,0.643,,,,8.72,,,,,,,,0.334,3.141042961,3.678769883,0.0636,MBA,2637.528716,0,40931,95.03,1.6,10.13222,0.17119375,2457000.5,20141209,57000,J2000,,,1902-10-07,431 Nephele (1897 DN),1.828112356,a0000431,10/30/14,126.7022291,1.59363,620.1929871,0.177048911,,,1670,Nephele,N,117.2718935,JPL 26,431,2033.336429,5.566971742,N,,6.66E+17,Otto Matic,5.08E+16,1897 DN,2.603316038,0.54753,18.821,-3.94E+17,131.8964358,1.28E-08,1.49E-08,3.24E-08,4.01E-06,1.33E-05,1.08E-09,0.00013916,1.24E-05,1.01E-07,7.34E-05,0.00013984,B,B,B,2000431,3.187,2456284.866,20121223.37,,214.5150944
,,,0.87,,,,8.84,,,,,,,,0.44,2.369084345,2.716225034,0.2338,MBA,2657.578699,0,41680,46.9,0.8,9.603125,0.146529476,2457000.5,20141209,57000,J2000,,,1900-09-22,432 Pythia (1897 DO),12.12736977,a0000432,11/3/14,202.42882,1.00811,392.3261687,0.270292061,,,1254,Pythia,N,88.80962888,JPL 55,432,1331.892616,3.646523248,N,,1.83E-38,Otto Matic,1.48E-39,1897 DO,2.021943657,0.55455,8.252,-1.34E+17,3.66E-50,6.92E-09,7.93E-09,3.94E-08,4.92E-06,1.82E-05,1.18E-09,2.47E-05,5.84E-06,9.33E-08,6.84E-05,2.95E-05,S,S,S,2000432,3.502,2457583.466,20160713.97,,173.8189822
,,,0.921,,0.46,0.0004463,11.16,,,,,,,,0.531,1.457960682,1.782552019,0.25,AMO,3366.604613,0,18751,16.84,0.06,6.11246,0.222633807,2457000.5,20141209,57000,J2000,,34.4x11.2x11.2,7/15/63,433 Eros (1898 DQ),10.82899936,a0000433,11/15/14,231.401367,0.149152,58.04548384,0.559867626,1,3,5150,Eros,Y,304.334537,JPL 452,433,643.0091382,1.760463075,N,,6.69E-42,Otto Matic,1.08E-42,1898 DQ,1.133369344,0.43689,5.27,-4.90241E+13,1.34E-53,3.81E-10,4.66E-10,1.13E-08,2.25E-06,4.17E-06,2.20E-10,8.79E-06,2.52E-07,1.66E-08,7.46E-06,9.92E-06,S,S,S,2000433,4.583,2457230.195,20150726.69,,178.7956776
,,,0.717,,,,11.21,,,,,,,,0.247,1.944316722,2.088058727,0.428,IMB,2662.965691,0,42397,,,11.020522,0.073929316,2457000.5,20141209,57000,J2000,11.63598349,,1898-09-13,434 Hungaria (1898 DR),22.50920083,a0000434,10/12/14,2.831918837,0.834663,324.8257997,0.363541134,,,1437,Hungaria,N,175.3327734,JPL 50,434,990.2593317,2.711182291,N,,2.06677E+14,Otto Matic,1.4613E+13,1898 DR,1.800574716,0.47036,26.51,2.95731E+15,133.1682846,3.93E-09,4.22E-09,3.53E-08,5.54E-06,3.26E-05,1.10E-09,9.93E-06,3.00E-06,6.93E-08,8.96E-05,3.43E-05,Xe,Xe,E,2000434,3.803,2456992.71,20141201.21,,123.9672878
,,,0.709,,,,10.23,,,,,,,,0.28,2.451166156,2.828860536,0.0831,MBA,2664.583066,0,42411,41.49,1.5,9.014024,0.154087628,2457000.5,20141209,57000,J2000,,,1898-09-11,435 Ella (1898 DS),1.816164897,a0000435,10/24/14,111.6370959,1.06958,416.2484486,0.256829524,,,1641,Ella,N,23.22672928,JPL 52,435,1401.708007,3.837667371,N,,0,Otto Matic,0,1898 DS,2.073471776,0.54084,4.623,-6.85E+16,0,7.49E-09,8.64E-09,3.55E-08,4.23E-06,1.32E-05,1.18E-09,0.00011175,6.42E-06,8.72E-08,5.11E-05,0.00011257,?,,DCX,2000435,3.478,2456565.826,20130930.33,,333.3673216
,,,,,,,10,,,,,,,,,3.205689757,3.412167254,0.0599,OMB,2631.806932,0,42413,59.53,4.2,12.187501,0.064409694,2457000.5,20141209,57000,J2000,,,1898-09-14,436 Patricia (1898 DT),18.48300217,a0000436,10/29/14,79.50841212,2.01994,786.1000498,0.171720379,,,1255,Patricia,N,351.3879582,JPL 52,436,2096.431426,5.739716429,N,,0,Otto Matic,0,1898 DT,2.99921226,0.58598,16.133,-2.02E+17,0,1.92E-08,2.04E-08,4.44E-08,4.61E-06,4.13E-05,1.54E-09,1.57E-05,1.88E-05,1.45E-07,0.00024043,4.66E-05,?,,,2000436,3.109,2456537.489,20130901.99,,40.79785379
,,,0.73,,,,10.41,,,,,,,,,2.387100216,2.979231063,0.7035,MBA,2678.56597,0,42271,13.12,0.7,8.626667,0.248054457,2457000.5,20141209,57000,J2000,,,1898-07-20,437 Rhodia (1898 DP),7.344242576,a0000437,4/14/14,194.9153686,0.797543,310.3798093,0.267237928,,,1336,Rhodia,N,263.2667431,JPL 75,437,1347.114171,3.688197595,N,,0,Otto Matic,0,1898 DP,1.794969368,0.58588,56,-2.16693E+15,0,9.08E-09,1.13E-08,3.81E-08,5.16E-06,1.06E-05,1.52E-09,3.51E-05,7.69E-06,9.03E-08,4.13E-05,3.62E-05,?,,,2000437,3.481,2457618.244,20160817.74,,61.90176268
,,,0.611,,,,9.8,,,,,,,,0.2,2.553683693,2.72621493,0.0568,MBA,2649.795916,0,42198,61.14,3.9,9.907524,0.06756171,2457000.5,20141209,57000,J2000,,,1898-11-12,438 Zeuxo (1898 DU),7.372183101,a0000438,5/26/14,298.7121717,1.37119,533.6260123,0.241520177,,,1274,Zeuxo,N,49.15139017,JPL 11,438,1490.558693,4.080927291,N,,0,Otto Matic,0,1898 DU,2.381152455,0.54899,8.831,-2.19E+17,0,1.03E-08,1.10E-08,4.33E-08,4.93E-06,3.69E-05,1.46E-09,3.98E-05,9.01E-06,1.10E-07,0.00015312,5.32E-05,?,,F,2000438,3.424,2457254.259,20150819.76,,211.2522926
,,,0.72,,,,9.83,,,,,,,,0.217,3.133137263,3.329201457,0.0352,MBA,2633.000891,0,42379,76.57,2.2,12.223048,0.062577595,2457000.5,20141209,57000,J2000,,,1898-10-15,439 Ohio (1898 EB),19.1517388,a0000439,10/26/14,288.9319971,1.99288,775.5691096,0.177719442,,,1287,Ohio,N,201.5609676,JPL 49,439,2025.664698,5.545967688,N,,0,Otto Matic,0,1898 EB,2.937073069,0.54147,19.2,-4.31E+17,0,1.85E-08,1.97E-08,4.12E-08,5.47E-06,4.09E-05,1.57E-09,1.45E-05,1.79E-05,1.29E-07,0.00023098,4.21E-05,?,,X,2000439,3.124,2457400.389,20160112.89,,241.4570686
,,,,,,,11.5,,,,,,,,,2.210381964,2.448008775,,MBA,2680.467952,0,42152,,,8.66005,0.107504863,2457000.5,20141209,57000,J2000,17.19805571,,1898-10-15,440 Theodora (1898 EC),1.596027754,a0000440,3/13/14,44.61966771,0.989336,385.0198911,0.29991838,,,1567,Theodora,N,292.1417378,JPL 13,440,1200.326569,3.286315042,N,,0,Otto Matic,0,1898 EC,1.972755153,0.46957,4.828,-4.88068E+15,0,7.01E-09,7.77E-09,3.46E-08,3.95E-06,1.94E-05,1.43E-09,0.00015198,5.71E-06,7.80E-08,6.47E-05,0.00015335,?,,,2000440,3.65,2456851.727,20140713.23,,179.0989176
,,,0.701,,,,8.51,,,,,,,,0.25,2.807600796,3.028557823,0.141,MBA,2641.857048,0,42295,70.32,2.6,10.36623,0.078699589,2457000.5,20141209,57000,J2000,,,1898-12-11,441 Bathilde (1898 ED),8.146477426,a0000441,9/29/14,222.7720531,1.60485,624.5594745,0.209508206,,,1355,Bathilde,N,253.602044,JPL 21,441,1718.309781,4.704475786,N,,4.56E+16,Otto Matic,3.40168E+15,1898 ED,2.586643769,0.56015,10.446,6.53E+17,132.1128524,1.33E-08,1.44E-08,4.14E-08,5.04E-06,3.26E-05,1.49E-09,3.55E-05,1.22E-05,1.15E-07,0.00015645,4.82E-05,Xk,Xk,M,2000441,3.303,2457655.5,20160924,,201.36442
,,,0.692,,,,10.03,,,,,,,,0.331,2.345226834,2.510348071,0.0386,MBA,2660.53411,0,44697,66.73,1.4,9.36129,0.070407363,2457000.5,20141209,57000,J2000,,,1892-03-19,442 Eichsfeldia (1899 EE),6.069088659,a0000442,8/4/14,21.48968885,1.18381,460.7033377,0.274426971,,,1518,Eichsfeldia,N,134.9380512,JPL 15,442,1311.824413,3.591579503,N,,2.31E+17,Otto Matic,1.92E+16,1899 EE,2.180105597,0.58764,11.871,-1.93E+17,133.0467055,6.65E-09,7.12E-09,3.54E-08,4.23E-06,2.88E-05,1.17E-09,3.96E-05,5.58E-06,8.37E-08,0.00010483,4.87E-05,Ch,Ch,C,2000442,3.551,2456922.193,20140921.69,,84.91341559
,,,0.902,,,,10.28,,,,,,,,0.479,2.215201524,2.304285438,0.1918,MBA,2668.717976,0,42045,26.68,1.6,9.082564,0.040214812,2457000.5,20141209,57000,J2000,,,1899-03-03,443 Photographica (1899 EF),4.235444236,a0000443,4/14/14,30.06306321,1.13359,441.1592203,0.298940125,,,1447,Photographica,N,175.4520716,JPL 74,443,1204.254531,3.297069217,N,,3.37E-39,Otto Matic,2.90E-40,1899 EF,2.12611761,0.58664,19.795,-2.47E+16,6.74E-51,5.43E-09,5.65E-09,3.43E-08,4.10E-06,5.19E-05,1.10E-09,5.61E-05,4.43E-06,7.66E-08,0.00017362,7.66E-05,Sl,Sl,S,2000443,3.649,2456899.934,20140830.43,,349.0461431
,,,0.676,,0.22,,7.83,,,,,,,,0.293,2.769013111,3.255319307,0.049,MBA,2645.338132,0,42088,163.08,10,10.006636,0.175624375,2457000.5,20141209,57000,J2000,,,1899-04-08,444 Gyptis (1899 EL),10.27786252,a0000444,7/2/14,243.4629821,1.28255,499.1299835,0.213902842,,,1438,Gyptis,N,195.725722,JPL 81,444,1683.007088,4.60782228,N,,3.38E+18,Otto Matic,2.61E+17,1899 EL,2.282706915,0.60129,6.214,-2.82E+18,132.2869066,8.45E-09,9.93E-09,3.24E-08,3.43E-06,1.13E-05,9.79E-10,2.54E-05,7.70E-06,8.99E-08,5.36E-05,2.77E-05,C,C,C,2000444,3.292,2457545.313,20160605.81,,155.1039933
,,,0.684,,,,9.29,,,,,,,,0.368,3.203589321,3.820545209,0.0447,OMB,2633.200056,0,42023,87.17,2.1,11.980386,0.192582702,2457000.5,20141209,57000,J2000,,,1899-10-04,445 Edna (1899 EX),21.36693556,a0000445,10/24/14,87.38023892,1.68735,656.6659995,0.17188929,,,1069,Edna,N,292.3519737,JPL 13,445,2094.371324,5.734076178,N,,5.16E+17,Otto Matic,3.32E+16,1899 EX,2.586633434,0.52071,19.97,-4.30E+17,131.6800028,1.40E-08,1.67E-08,4.15E-08,5.36E-06,1.27E-05,1.13E-09,1.41E-05,1.38E-05,1.31E-07,7.37E-05,2.03E-05,C,,C,2000445,3.058,2456492.148,20130718.65,,80.84135129
,,,1.026,,,,8.9,,,,,,,,0.615,2.786741032,3.140903033,0.2361,MBA,2642.868531,0,41925,45.4,3.2,10.315684,0.127088236,2457000.5,20141209,57000,J2000,,,1899-10-29,446 Aeternitas (1899 ER),10.62615252,a0000446,8/12/14,316.1326164,1.44951,564.1058067,0.21186497,,,1299,Aeternitas,N,42.09254334,JPL 52,446,1699.195484,4.652143694,N,,0,Otto Matic,0,1899 ER,2.432579031,0.55599,15.7413,-1.22E+17,0,1.09E-08,1.22E-08,3.80E-08,3.80E-06,1.67E-05,1.24E-09,2.12E-05,9.94E-06,1.08E-07,7.93E-05,2.59E-05,A,A,A,2000446,3.294,2457207.554,20150704.05,,279.6534874
,,,0.778,,,,8.99,,,,,,,,0.387,2.989087297,3.116361332,0.0714,MBA,2637.352594,0,43825,79.22,3.2,10.607312,0.042579564,2457000.5,20141209,57000,J2000,,,1894-11-03,447 Valentine (1899 ES),4.793713472,a0000447,10/30/14,102.5168485,1.87021,727.8296257,0.190719973,,,1394,Valentine,N,71.91316707,JPL 28,447,1887.584164,5.16792379,N,,0,Otto Matic,0,1899 ES,2.861813262,0.5863,9.651,-4.77E+17,0,1.36E-08,1.42E-08,4.07E-08,5.24E-06,5.61E-05,1.30E-09,4.54E-05,1.29E-05,1.20E-07,0.00029504,7.24E-05,?,,TD,2000447,3.25,2456462.975,20130619.47,,323.8545722
,,,0.66,,,,10.3,,,,,,,,0.303,3.133665537,3.719228872,0.0588,MBA,2635.751039,0,41938,47.76,1.7,10.727932,0.186862104,2457000.5,20141209,57000,J2000,,,1899-10-30,448 Natalie (1899 ET),12.72611964,a0000448,8/26/14,281.4050001,1.57164,611.6351388,0.177674504,,,1347,Natalie,N,37.29767352,JPL 14,448,2026.177036,5.547370393,N,,8.48E+16,Otto Matic,6.09858E+15,1899 ET,2.548102201,0.53041,8.0646,-7.08E+16,131.8075519,2.01E-08,2.38E-08,4.70E-08,6.07E-06,1.77E-05,1.71E-09,2.34E-05,1.94E-05,1.50E-07,0.00010171,2.79E-05,C,,C,2000448,3.148,2457442.854,20160224.35,,294.2694044
,,,0.701,,,,9.47,,,,,,,,0.378,2.551465604,2.994698684,0.0393,MBA,2659.477282,0,41994,85.59,1.9,9.159291,0.173717051,2457000.5,20141209,57000,J2000,,,1899-11-02,449 Hamburga (1899 EU),3.085272931,a0000449,10/24/14,346.8107813,1.12434,437.5593978,0.24183519,,,1465,Hamburga,N,85.94448998,JPL 13,449,1488.617102,4.075611504,N,,4.88E+17,Otto Matic,4.15E+16,1899 EU,2.108232524,0.55501,18.263,-4.07E+17,132.9938641,9.59E-09,1.13E-08,4.72E-08,3.69E-06,1.49E-05,1.36E-09,0.00012325,8.39E-06,1.22E-07,6.17E-05,0.00012391,C,,C,2000449,3.417,2457055.038,20150201.54,,47.4145952
,,,0.785,,,,10.1,,,,,,,,0.475,3.016162369,3.314271363,0.1229,MBA,2636.79211,0,42017,33.32,1.3,10.754125,0.098837184,2457000.5,20141209,57000,J2000,,,1899-10-11,450 Brigitta (1899 EV),10.15412175,a0000450,10/25/14,13.01718932,1.71802,668.6018434,0.188157701,,,1289,Brigitta,N,14.4705991,JPL 8,450,1913.288683,5.238298927,N,,0,Otto Matic,0,1899 EV,2.718053375,0.52809,10.75,-3.55E+16,0,1.83E-08,2.02E-08,4.98E-08,6.09E-06,2.39E-05,1.72E-09,2.67E-05,1.75E-05,1.47E-07,0.00012671,3.59E-05,?,,CSU,2000450,3.217,2456931.318,20140930.82,,356.0800972
,,,0.666,,0.19,,6.65,,,,,,,,0.31,3.060199579,3.292821023,0.0764,MBA,2634.756949,0,41910,224.96,4.4,11.494677,0.076015122,2457000.5,20141209,57000,J2000,,,1899-12-07,451 Patientia (1899 EY),15.24043274,a0000451,9/5/14,168.7461543,1.84757,719.0188169,0.184110877,,,2191,Patientia,N,89.25830006,JPL 92,451,1955.343462,5.353438637,N,,0,Otto Matic,0,1899 EY,2.827578136,0.53632,9.727,-1.09E+19,0,7.24E-09,7.79E-09,2.71E-08,3.24E-06,1.88E-05,6.53E-10,1.20E-05,6.94E-06,8.26E-08,0.00010122,2.21E-05,?,,CU,2000451,3.176,2456083.954,20120605.45,,337.1952958
,,,,,,,11.8,,,,,,,,,2.845961132,2.885607573,,MBA,2640.545814,0,41957,,,10.449586,0.013930774,2457000.5,20141209,57000,J2000,14.97888034,,1899-12-10,452 Hamiltonia (1899 FD),3.224844476,a0000452,10/25/14,243.5195816,1.81432,706.0789144,0.205286612,,,1257,Hamiltonia,N,92.56266369,JPL 10,452,1753.645776,4.801220469,N,,0,Otto Matic,0,1899 FD,2.806314691,0.52185,2.8813,-3.22464E+15,0,1.92E-08,1.95E-08,5.06E-08,5.08E-06,0.00018802,2.08E-09,0.00010502,1.77E-05,1.47E-07,0.00091658,0.00021675,?,,,2000452,3.305,2457567.904,20160628.4,,72.56164724
,,,,,,,10.4,,,,,,,,,2.183090988,2.421443981,0.1827,MBA,2678.632605,0,41882,20.93,1.1,8.740095,0.109181428,2457000.5,20141209,57000,J2000,,,1900-02-22,453 Tea (1900 FA),5.550740508,a0000453,10/24/14,135.1365428,0.939895,365.7789372,0.305559871,,,1529,Tea,N,11.72701279,JPL 50,453,1178.165177,3.225640458,N,,1.63E-39,Otto Matic,1.46E-40,1900 FA,1.944737996,0.52268,6.812,-1.19E+16,3.25E-51,7.27E-09,8.06E-09,3.79E-08,4.94E-06,2.13E-05,1.53E-09,4.26E-05,5.88E-06,8.43E-08,6.99E-05,4.73E-05,S,S,S,2000453,3.665,2456558.241,20130922.74,,220.6608897
,,,0.662,,,,9.2,,,,,,,,0.347,2.628639383,2.916701227,0.0555,MBA,2649.311179,0,41849,81.57,3.2,9.77619,0.109585912,2457000.5,20141209,57000,J2000,,,1900-03-31,454 Mathesis (1900 FC),6.29139756,a0000454,10/28/14,319.5179931,1.33675,520.2229975,0.231263747,,,1409,Mathesis,N,32.30982909,JPL 76,454,1556.664217,4.261914351,N,,0,Otto Matic,0,1900 FC,2.340577539,0.57029,8.378,-5.21E+17,0,7.99E-09,8.87E-09,4.13E-08,5.05E-06,2.23E-05,1.05E-09,4.41E-05,7.10E-06,1.08E-07,9.66E-05,4.91E-05,?,,CB,2000454,3.384,2457175.547,20150602.05,,177.1205306
,,,0.694,,,,8.9,,,,,,,,0.311,2.657575044,3.436832221,0.0709,MBA,2656.100548,0,41795,84.41,5,9.348933,0.293221137,2457000.5,20141209,57000,J2000,,,1900-05-21,455 Bruchsalia (1900 FG),12.01483359,a0000455,10/25/14,84.47196203,0.918595,357.4896162,0.22749705,,,1352,Bruchsalia,N,76.55857459,JPL 61,455,1582.438105,4.332479412,N,,0,Otto Matic,0,1900 FG,1.878317867,0.57657,11.838,-5.77E+17,0,6.94E-09,8.98E-09,2.79E-08,4.51E-06,7.93E-06,8.92E-10,1.46E-05,6.20E-06,7.35E-08,3.42E-05,1.61E-05,?,,CP,2000455,3.294,2456629.19,20131202.69,,272.3666877
,,,,,,,9.1,,,,,,,,,2.787710701,3.289463454,0.2335,MBA,2642.885139,0,41776,39.76,3.6,10.476803,0.179987383,2457000.5,20141209,57000,J2000,,,1900-06-15,456 Abnoba (1900 FH),14.4372342,a0000456,10/31/14,234.6074426,1.27696,496.9545232,0.211754438,,,1408,Abnoba,N,229.3135267,JPL 11,456,1700.082435,4.654572032,N,,1.11E-38,Otto Matic,8.23E-40,1900 FH,2.285957949,0.51195,18.281,-8.17E+16,2.23E-50,8.62E-09,1.02E-08,3.71E-08,4.88E-06,1.34E-05,9.82E-10,1.99E-05,7.88E-06,1.04E-07,6.41E-05,2.40E-05,S,S,,2000456,3.261,2457592.66,20160723.16,,6.65871861
,,,,,,,11,,,,,,,,,3.094213671,3.634721038,,MBA,2636.186591,0,41662,,,10.760877,0.174683271,2457000.5,20141209,57000,J2000,21.65106937,,1900-09-15,457 Alleghenia (1900 FJ),12.92026621,a0000457,10/9/14,355.4556341,1.58034,615.0209178,0.181083393,,,1076,Alleghenia,N,249.7193962,JPL 10,457,1988.034322,5.442941332,N,,0,Otto Matic,0,1900 FJ,2.553706304,0.50979,,-9.73824E+15,0,1.78E-08,2.09E-08,5.61E-08,5.97E-06,1.51E-05,1.56E-09,2.81E-05,1.72E-05,1.71E-07,8.34E-05,3.16E-05,?,,,2000457,3.162,2457025.595,20150103.1,,128.532847
,,,0.885,,,,9.63,,,,,,,,0.471,2.99728195,3.707812754,0.1654,MBA,2640.470263,0,41679,38.75,1,10.274869,0.23705838,2457000.5,20141209,57000,J2000,,,1900-09-21,458 Hercynia (1900 FK),12.67130694,a0000458,11/1/14,349.3217276,1.33858,520.9351786,0.189938357,,,1165,Hercynia,N,134.5347507,JPL 53,458,1895.351767,5.189190326,N,,2.67E+16,Otto Matic,2.00453E+15,1900 FK,2.286751147,0.55242,22.3,-4.41E+16,132.0435131,1.54E-08,1.91E-08,4.50E-08,4.24E-06,9.28E-06,1.47E-09,2.55E-05,1.46E-05,1.35E-07,4.91E-05,2.64E-05,L,L,S,2000458,3.175,2457056.72,20150203.22,,276.1088894
,,,0.869,,,,10.44,,,,,,,,0.453,2.621689629,3.168173041,0.137,MBA,2652.500023,0,41637,29.32,2.4,9.576829,0.208447028,2457000.5,20141209,57000,J2000,,,1900-10-23,459 Signe (1900 FM),10.29627216,a0000459,10/22/14,311.3627409,1.08711,423.0705987,0.232183931,,,1156,Signe,N,29.5242461,JPL 10,459,1550.494896,4.245023671,N,,0,Otto Matic,0,1900 FM,2.075206216,0.52153,5.5362,-2.42E+16,0,1.15E-08,1.39E-08,5.25E-08,6.27E-06,1.38E-05,1.52E-09,2.75E-05,1.02E-05,1.40E-07,6.05E-05,3.03E-05,?,,S,2000459,3.351,2457209.977,20150706.48,,18.95968657
,,,,,,,10.7,,,,,,,,,2.716342898,3.004481133,0.2144,MBA,2646.647875,0,41496,21.78,1.9,9.865414,0.106075796,2457000.5,20141209,57000,J2000,,,1900-10-25,460 Scania (1900 FN),4.636429395,a0000460,6/5/14,185.3950301,1.42772,555.6257924,0.220154307,,,1369,Scania,N,205.2317399,JPL 11,460,1635.216705,4.476979344,N,,1.58E+16,Otto Matic,1.23847E+15,1900 FN,2.428204663,0.55283,9.56,-1.33E+16,132.3523937,1.22E-08,1.35E-08,4.98E-08,6.01E-06,2.43E-05,1.49E-09,6.13E-05,1.11E-05,1.35E-07,0.00011153,6.63E-05,K,K,,2000460,3.348,2457793.603,20170209.1,,162.567413
,,,0.61,,,,10.48,,,,,,,,0.31,3.123130644,3.563670621,,MBA,2636.916392,0,41624,,,10.248702,0.141057172,2457000.5,20141209,57000,J2000,27.50928809,,1900-10-22,461 Saskia (1900 FP),1.462982974,a0000461,10/8/14,217.9454574,1.69965,661.4527905,0.178574255,,,1567,Saskia,N,157.0210721,JPL 10,461,2015.968094,5.519419832,N,,0,Otto Matic,0,1900 FP,2.682590667,0.53571,7.348,-2.00E+16,0,1.95E-08,2.22E-08,4.26E-08,5.24E-06,2.00E-05,1.67E-09,0.00021389,1.89E-05,1.30E-07,0.00011359,0.00021424,?,,FCX,2000461,3.2,2457795.993,20170211.49,,304.7863734
,,,0.834,,,,9.23,,,,,,,,0.421,2.872958478,3.12305811,0.2829,MBA,2641.451686,0,41491,35.63,1.4,10.16623,0.087052992,2457000.5,20141209,57000,J2000,,,1900-10-31,462 Eriphyla (1900 FQ),3.1925655,a0000462,6/6/14,178.9853885,1.62084,630.7823028,0.202399786,,,1331,Eriphyla,N,105.2870351,JPL 12,462,1778.658003,4.869700213,N,,8.02E-39,Otto Matic,6.10E-40,1900 FQ,2.622858845,0.60944,8.64,-5.88E+16,1.60E-50,1.36E-08,1.48E-08,4.76E-08,5.08E-06,2.73E-05,1.44E-09,9.55E-05,1.27E-05,1.36E-07,0.00013469,9.95E-05,S,S,S,2000462,3.289,2456116.184,20120707.68,,251.7203013
,,,0.713,,,,11.82,,,,,,,,0.294,2.39800808,2.927398316,0.0829,MBA,2659.716601,0,41581,19.97,1.5,9.434165,0.220762491,2457000.5,20141209,57000,J2000,,,1900-10-31,463 Lola (1900 FS),13.54342196,a0000463,9/4/14,276.0247806,0.881318,342.9825261,0.265416618,,,1158,Lola,N,36.54067792,JPL 48,463,1356.358177,3.713506302,N,,0,Otto Matic,0,1900 FS,1.868617843,0.48853,6.206,-7.64147E+15,0,1.53E-08,1.87E-08,5.28E-08,6.27E-06,1.65E-05,2.54E-09,2.10E-05,1.30E-05,1.27E-07,6.43E-05,2.38E-05,?,,X,2000463,3.457,2457316.89,20151021.39,,329.2708706
,,,0.638,,,,9.52,,,,,,,,,2.800725282,3.374970287,0.0502,MBA,2645.831953,0,41429,74.04,5.9,9.895546,0.205034392,2457000.5,20141209,57000,J2000,,,1901-01-09,464 Megaira (1901 FV),10.16901421,a0000464,6/14/14,192.4685226,1.25006,486.4858502,0.210280164,,,1411,Megaira,N,102.3737956,JPL 56,464,1712.001712,4.687205234,N,,3.16E+17,Otto Matic,2.47E+16,1901 FV,2.226480278,0.51604,12.726,-2.64E+17,132.3115977,1.36E-08,1.64E-08,3.46E-08,4.85E-06,1.20E-05,1.53E-09,2.47E-05,1.24E-05,9.55E-08,5.93E-05,2.72E-05,C,C,FXU,2000464,3.271,2457797.206,20170212.71,,258.5516217
,,,,,,,9.8,,,,,,,,,3.092707718,3.736084839,0.0433,MBA,2639.893789,0,41561,73.34,2.8,9.961023,0.208030367,2457000.5,20141209,57000,J2000,,,1901-01-19,465 Alekto (1901 FW),4.656440861,a0000465,11/3/14,259.4118087,1.44707,563.1562319,0.181215673,,,2279,Alekto,N,300.6658501,JPL 21,465,1986.583134,5.438968198,N,,0,Otto Matic,0,1901 FW,2.449330597,0.50763,10.938,-3.78E+17,0,1.37E-08,1.65E-08,3.04E-08,3.71E-06,9.86E-06,1.20E-09,4.66E-05,1.32E-05,9.39E-08,5.60E-05,4.72E-05,?,,,2000465,3.186,2457555.574,20160616.07,,283.992403
