Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location,Team Avg Scoring Margin,Opponent Average Scoring Margin
3/9/13,Tulsa,Rice,77,71,Rice,6,Win,Away,-1.38,-11.36
3/9/13,Rice,Tulsa,71,77,Rice,-6,Loss,Home,-11.36,-1.38
3/9/13,Richmond,Duquesne,79,55,Richmond,24,Win,Home,4.00,-8.03
3/9/13,Duquesne,Richmond,55,79,Richmond,-24,Loss,Away,-8.03,4.00
3/9/13,Mt St Mary's,Robert Morris,69,60,Robert Morris,9,Win,Away,-1.13,5.67
3/9/13,Robert Morris,Mt St Mary's,60,69,Robert Morris,-9,Loss,Home,5.67,-1.13
3/9/13,Texas St,San Jose St,90,67,San Jose St,23,Win,Away,-6.23,-8.11
3/9/13,San Jose St,Texas St,67,90,San Jose St,-23,Loss,Home,-8.11,-6.23
3/9/13,Santa Barbara,UC Riverside,56,46,Santa Barbara,10,Win,Home,-4.68,-9.79
3/9/13,UC Riverside,Santa Barbara,46,56,Santa Barbara,-10,Loss,Away,-9.79,-4.68
3/9/13,SE Louisiana,Lamar,86,72,SE Louisiana,14,Win,Home,-7.74,-17.29
3/9/13,Lamar,SE Louisiana,72,86,SE Louisiana,-14,Loss,Away,-17.29,-7.74
3/9/13,SF Austin,TAM C. Christi,58,49,SF Austin,9,Win,Home,11.88,-8.11
3/9/13,TAM C. Christi,SF Austin,49,58,SF Austin,-9,Loss,Away,-8.11,11.88
3/9/13,UTEP,SMU,76,63,SMU,13,Win,Away,2.63,0.80
3/9/13,SMU,UTEP,63,76,SMU,-13,Loss,Home,0.80,2.63
3/9/13,Southern Miss,UCF,70,62,Southern Miss,8,Win,Home,7.83,2.48
3/9/13,UCF,Southern Miss,62,70,Southern Miss,-8,Loss,Away,2.48,7.83
3/9/13,Fordham,St Bonaventure,76,72,St Bonaventure,4,Win,Away,-11.48,0.72
3/9/13,St Bonaventure,Fordham,72,76,St Bonaventure,-4,Loss,Home,0.72,-11.48
3/9/13,Marquette,St John's,69,67,St John's,2,Win,Away,6.73,-0.53
3/9/13,St John's,Marquette,67,69,St John's,-2,Loss,Home,-0.53,6.73
3/9/13,St Louis,La Salle,78,54,St Louis,24,Win,Home,10.50,7.07
3/9/13,La Salle,St Louis,54,78,St Louis,-24,Loss,Away,7.07,10.50
3/9/13,TCU,Oklahoma,70,67,TCU,3,Win,Home,-8.53,5.33
3/9/13,Oklahoma,TCU,67,70,TCU,-3,Loss,Away,5.33,-8.53
3/9/13,Tennessee,Missouri,64,62,Tennessee,2,Win,Home,3.33,10.39
3/9/13,Missouri,Tennessee,62,64,Tennessee,-2,Loss,Away,10.39,3.33
3/9/13,Texas,Texas Tech,71,69,Texas Tech,2,Win,Away,0.50,-7.03
3/9/13,Texas Tech,Texas,69,71,Texas Tech,-2,Loss,Home,-7.03,0.50
3/9/13,Houston,Tulane,96,94,Tulane,2,Win,Away,4.32,4.33
3/9/13,Tulane,Houston,94,96,Tulane,-2,Loss,Home,4.33,4.32
3/9/13,TX Pan American,NJIT,76,59,TX Pan American,17,Win,Home,-5.07,0.75
3/9/13,NJIT,TX Pan American,59,76,TX Pan American,-17,Loss,Away,0.75,-5.07
3/9/13,UC Irvine,UC Davis,88,85,UC Davis,3,Win,Away,0.83,-0.20
3/9/13,UC Davis,UC Irvine,85,88,UC Davis,-3,Loss,Home,-0.20,0.83
3/9/13,Fresno St,UNLV,61,52,UNLV,9,Win,Away,-3.15,7.52
3/9/13,UNLV,Fresno St,52,61,UNLV,-9,Loss,Home,7.52,-3.15
3/9/13,Utah,Oregon,72,62,Utah,10,Win,Home,-1.93,7.90
3/9/13,Oregon,Utah,62,72,Utah,-10,Loss,Away,7.90,-1.93
3/9/13,Utah St,UT San Antonio,71,51,Utah St,20,Win,Home,4.79,-6.31
3/9/13,UT San Antonio,Utah St,51,71,Utah St,-20,Loss,Away,-6.31,4.79
3/9/13,CS Bakersfield,Utah Valley,73,58,Utah Valley,15,Win,Away,-4.27,-4.44
3/9/13,Utah Valley,CS Bakersfield,58,73,Utah Valley,-15,Loss,Home,-4.44,-4.27
3/9/13,Valparaiso,WI Green Bay,70,69,Valparaiso,1,Win,Home,8.90,2.23
3/9/13,WI Green Bay,Valparaiso,69,70,Valparaiso,-1,Loss,Away,2.23,8.90
3/9/13,Vanderbilt,South Carolina,74,64,Vanderbilt,10,Win,Home,0.00,-2.55
3/9/13,South Carolina,Vanderbilt,64,74,Vanderbilt,-10,Loss,Away,-2.55,0.00
3/9/13,W Michigan,C Michigan,71,68,W Michigan,3,Win,Home,2.07,-5.03
3/9/13,C Michigan,W Michigan,68,71,W Michigan,-3,Loss,Away,-5.03,2.07
3/9/13,Long Island,Wagner,94,82,Wagner,12,Win,Away,2.50,1.84
3/9/13,Wagner,Long Island,82,94,Wagner,-12,Loss,Home,1.84,2.50
3/9/13,UCLA,Washington,61,54,Washington,7,Win,Away,6.42,1.16
3/9/13,Washington,UCLA,54,61,Washington,-7,Loss,Home,1.16,6.42
3/9/13,Washington St,USC,76,51,Washington St,25,Win,Home,1.55,-1.90
3/9/13,USC,Washington St,51,76,Washington St,-25,Loss,Away,-1.90,1.55
3/9/13,Weber St,E Washington,65,57,Weber St,8,Win,Home,11.30,-5.29
3/9/13,E Washington,Weber St,57,65,Weber St,-8,Loss,Away,-5.29,11.30
3/9/13,Iowa St,West Virginia,83,74,West Virginia,9,Win,Away,9.23,-1.94
