Rank,Value,Player,Yr,Ht,Wt,Gms,Team
40,6.172,Malik Garner,So,6-Jun,225,29,Maryland-Baltimore County
41,6.138,Kurt Steidel,Fr,6-Jun,185,29,Vermont
42,6.034,Brett Roseboro,Sr,10-Jun,240,29,Maryland-Baltimore County
43,6,John Puk,Jr,10-Jun,235,29,Albany
44,5.68,Frank Okeke,So,6-Jun,220,25,New Hampshire
45,5.677,Corban Wroe,Jr,2-Jun,195,31,Hartford
46,5.37,Jaleen Smith,Fr,4-Jun,195,27,New Hampshire
47,5.321,Roland Brown,Sr,8-Jun,240,28,Binghamton
48,5.25,Ethan Mackey,So,7-Jun,220,28,Maine
50,5.167,Hector Harold,Jr,7-Jun,205,30,Vermont
51,5.034,Charles Taylor Jr.,Fr,4-Jun,190,29,Maryland-Baltimore County
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,20.345,Sean Kilpatrick,Jr,4-Jun,210,29,Cincinnati
2,17.793,Shabazz Napier,Sr,1-Jun,180,29,Connecticut
3,17.759,Russ Smith,Sr,Jun-00,165,29,Louisville
4,17.179,Dalton Pepper,Sr,5-Jun,220,28,Temple
5,16.385,Will Cummings,Jr,2-Jun,175,26,Temple
6,16.074,Isaiah Sykes,Sr,6-Jun,220,27,UCF
7,16.034,TaShawn Thomas,Jr,8-Jun,215,29,Houston
8,15.655,Victor Rudd,Sr,9-Jun,229,29,South Florida
9,15.276,Myles Mack,Jr,9-May,175,29,Rutgers
10,15.143,Quenton DeCosey,So,5-Jun,180,28,Temple
11,14.607,Kadeem Jack,Jr,9-Jun,230,28,Rutgers
12,14.138,Nic Moore,So,9-May,170,29,Southern Methodist
13,14.5,J.J. Moore,Sr,6-Jun,215,2,Rutgers
13,14.034,Joe Jackson,Sr,1-Jun,174,29,Memphis
14,13.655,Montrezl Harrell,So,8-Jun,235,29,Louisville
15,13.56,Anthony Lee,Jr,9-Jun,230,25,Temple
16,12.429,Ryan Boatright,Jr,Jun-00,168,28,Connecticut
17,12.345,Shaq Goodwin,So,9-Jun,242,29,Memphis
18,12.296,DeAndre Daniels,Jr,9-Jun,195,27,Connecticut
19,12.034,Michael Dixon Jr.,Sr,1-Jun,200,29,Memphis
20,11.931,Markus Kennedy,So,9-Jun,245,29,Southern Methodist
20,13.5,L.J. Rose,So,4-Jun,190,2,Houston
21,11.643,Luke Hancock,Sr,6-Jun,200,28,Louisville
22,11.222,Tristan Spurlock,Sr,8-Jun,230,27,UCF
23,10.966,Justin Jackson,Sr,8-Jun,230,29,Cincinnati
24,10.889,J.J. Moore,Sr,6-Jun,215,27,Rutgers
25,10.448,Jherrod Stiggers,So,5-Jun,210,29,Houston
26,9.84,Chris Jones,Jr,10-May,175,25,Louisville
27,9.615,Calvin Newell Jr.,Sr,1-Jun,210,26,UCF
28,9.37,Kasey Wilson,So,7-Jun,225,27,UCF
29,9.207,Corey Allen Jr.,Jr,1-Jun,147,29,South Florida
29,9.207,Nick Russell,Sr,4-Jun,210,29,Southern Methodist
31,9.172,Geron Johnson,Sr,3-Jun,197,29,Memphis
32,9.034,Chris Perry,Fr,8-Jun,241,29,South Florida
33,8.897,Martino Brock,Sr,5-Jun,205,29,South Florida
34,8.862,Chris Crawford,Sr,4-Jun,222,29,Memphis
34,8.862,Austin Nichols,Fr,8-Jun,212,29,Memphis
36,8.786,Wayne Blackshear,Jr,5-Jun,230,28,Louisville
37,8.043,L.J. Rose,So,4-Jun,190,23,Houston
38,7.966,Niels Giffey,Sr,7-Jun,205,29,Connecticut
39,7.926,Jerome Seagears,Jr,1-Jun,175,27,Rutgers
40,7.69,Terry Rozier,Fr,1-Jun,170,29,Louisville
40,6,Lasan Kromah,,,,2,Connecticut
41,7.63,Danrad Knowles,So,10-Jun,190,27,Houston
42,7.517,John Egbunu,Fr,10-Jun,249,29,South Florida
43,7.333,Lasan Kromah,Sr,6-Jun,201,27,Connecticut
43,7.583,Chane Behanan,Jr,6-Jun,250,12,Louisville
44,7.148,Wally Judge,Sr,9-Jun,250,27,Rutgers
45,7,Titus Rubles,Sr,7-Jun,220,29,Cincinnati
46,6.897,Shaquille Thomas,So,7-Jun,205,29,Cincinnati
47,6.724,Ben Moore,Fr,8-Jun,185,29,Southern Methodist
47,6.875,Anthony Collins,Jr,1-Jun,175,8,South Florida
48,6.448,Brandon Morris,Sr,Jun-00,185,29,Houston
49,5.826,Junior Etou,Fr,7-Jun,225,23,Rutgers
49,6.7,Daniel Dingle,So,7-Jun,225,10,Temple
50,5.793,Jermaine Sanders,Jr,5-Jun,210,29,Cincinnati
51,5.704,Matt Williams,So,5-Jun,220,27,UCF
52,5.586,Troy Caupain,Fr,3-Jun,200,29,Cincinnati
53,5.542,D`Von Campbell,Jr,11-May,178,24,Rutgers
54,5.464,Keith Frazier,Fr,5-Jun,190,28,Southern Methodist
55,5.25,Ryan Manuel,Jr,4-Jun,185,28,Southern Methodist
56,5.227,Eugene McCrory,Jr,8-Jun,240,22,UCF
57,5,Cannen Cunningham,Jr,10-Jun,225,29,Southern Methodist
58,4.862,Shawn Williams,Sr,7-Jun,230,29,Southern Methodist
58,4.862,Ge`Lawn Guyn,Jr,2-Jun,185,29,Cincinnati
60,4.692,Omar Calhoun,So,6-Jun,200,26,Connecticut
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,16.935,Torrey Craig,Sr,6-Jun,215,31,USC Upstate
2,16.806,Rashawn Rembert,Jr,3-Jun,195,31,East Tennessee State
3,16.64,Jarvis Haywood,So,4-Jun,185,25,Jacksonville
4,15.679,Martin Smith,Jr,4-Jun,190,28,Lipscomb
5,15.103,Bernard Thompson,Jr,3-Jun,166,29,Florida Gulf Coast
6,14.871,Langston Hall,Sr,4-Jun,180,31,Mercer
7,14.655,J.C. Hampton,Fr,1-Jun,180,29,Lipscomb
8,14.161,Brett Comer,Jr,3-Jun,192,31,Florida Gulf Coast
9,13.806,Chase Fieler,Sr,8-Jun,205,31,Florida Gulf Coast
10,13.6,Willie Green,Sr,6-Jun,210,30,Stetson
11,13.536,Jordan Jackson,Jr,2-Jun,180,28,Northern Kentucky
12,13.414,Malcolm Smith,Jr,4-Jun,210,29,Lipscomb
13,13.167,Ricardo Glenn,Sr,8-Jun,246,30,USC Upstate
14,12.88,Keith McDougald,Sr,1-Jun,205,25,Jacksonville
15,12.75,Josh Williams,Fr,4-Jun,218,28,Lipscomb
16,12.71,Jalen Riley,Jr,Jun-00,150,31,East Tennessee State
17,12.613,Delbert Love,Jr,Jun-00,185,31,Kennesaw State
18,12.452,Dallas Moore,Fr,Jun-00,160,31,North Florida
19,12.29,Travis Wallace,Sr,6-Jun,230,31,North Florida
20,10.933,Kinard Gadsden-Gilli,Sr,6-Jun,250,30,East Tennessee State
21,10.821,Tyler White,So,3-Jun,180,28,Northern Kentucky
22,10.419,Beau Beech,So,8-Jun,195,31,North Florida
23,10.29,Lester Wilson,So,4-Jun,215,31,East Tennessee State
24,10.097,Daniel Coursey,Sr,10-Jun,220,31,Mercer
25,10,A.J. Merriweather,Fr,2-Jun,185,31,East Tennessee State
26,9.7,Orlando Coleman,So,5-Jun,195,30,Kennesaw State
27,9.655,Unknown Unknown,Sr,2-Jun,200,29,Jacksonville
28,9.633,Jalen Billups,So,6-Jun,240,30,Northern Kentucky
29,9.433,Kentwan Smith,Jr,8-Jun,205,30,Stetson
30,9.29,Bud Thomas,Sr,6-Jun,200,31,Mercer
31,9.207,Raymone Andrews,Sr,2-Jun,180,29,Stetson
32,9.2,Hunter Harris,Sr,7-Jun,235,30,East Tennessee State
33,9.115,Javon Dawson,Sr,6-Jun,260,26,Jacksonville
34,8.652,Todd Johnson,So,9-May,170,23,Northern Kentucky
35,8.548,Jamail Jones,Jr,6-Jun,215,31,Florida Gulf Coast
35,8.548,Jodd Maxey,Sr,8-Jun,200,31,USC Upstate
37,8.483,Brian Pegg,Fr,7-Jun,205,29,Stetson
38,8.414,R.J. Slawson,,9-Jun,220,29,Jacksonville
39,8.3,Jalen Nesbitt,Jr,4-Jun,180,30,North Florida
40,8.258,Ike Nwamu,So,5-Jun,205,31,Mercer
41,8.069,Aaron Graham,Sr,4-Jun,175,29,Stetson
42,7.419,Charles McRoy,Sr,6-Jun,205,31,North Florida
43,7.387,Fred Miller,Jr,4-Jun,200,31,USC Upstate
44,7.323,Jakob Gollon,Sr,6-Jun,200,31,Mercer
45,7.29,Anthony White Jr.,Sr,2-Jun,170,31,Mercer
46,7.129,Nigel Pruitt,So,7-Jun,180,31,Kennesaw State
47,7.115,Khion Sankey,Sr,5-Jun,220,26,Lipscomb
