Rank,Value,Player,Yr,Ht,Wt,Gms,Team
23,11.429,Kendall Gray,Jr,10-Jun,240,28,Delaware State
24,11.393,Deron Powers,So,11-May,165,28,Hampton
25,11.208,Bruce Beckford,So,7-Jun,215,24,North Carolina A&T
26,11.036,Sterling Smith,So,4-Jun,200,28,Coppin State
27,11,Malik Jackson,Sr,6-Jun,188,30,Bethune-Cookman
28,10.633,Clemmye Owens,Fr,1-Jun,185,30,Bethune-Cookman
29,10.464,Deven Williams,Sr,Jun-00,205,28,Savannah State
30,10.346,Anthony Hubbard,Sr,5-Jun,230,26,Morgan State
31,10,Alfonzo Houston,Sr,3-Jun,190,28,North Carolina Central
32,9.857,Jordan Parks,Jr,7-Jun,200,28,North Carolina Central
33,9.75,Taariq Cephas,Jr,10-May,150,28,Coppin State
34,9.704,Adama Adams,Sr,1-Jun,180,27,South Carolina State
35,9.607,Brian Darden,So,2-Jun,183,28,Hampton
36,9.286,Jamari Bradshaw,Sr,6-Jun,210,28,Florida A&M
37,9.074,Joshua Montgomery,Sr,5-Jun,205,27,Savannah State
38,9.037,Trey Kellum,So,6-Jun,205,27,Florida A&M
39,8.607,Kendal Williams,Jr,Jun-00,160,28,Delaware State
40,8.571,Jay Copeland,Jr,7-Jun,255,28,North Carolina Central
41,8.214,Anell Alexis,Sr,6-Jun,200,28,Norfolk State
42,7.786,Jyles Smith,Sr,9-Jun,215,28,Savannah State
43,7.571,Jeremy Underwood,Sr,Jun-00,185,28,North Carolina A&T
44,7.2,Karamo Jawara,Jr,8-Jun,220,25,North Carolina Central
45,7.111,Darryl Palmer,So,7-Jun,210,27,South Carolina State
46,6.885,Cedric Blossom,So,6-Jun,225,26,Morgan State
47,6.833,Maurice Taylor,Jr,3-Jun,180,30,Bethune-Cookman
48,6.821,Jeremiah Hill,Fr,1-Jun,175,28,Savannah State
49,6.808,Blake Bozeman,Jr,2-Jun,170,26,Morgan State
50,6.778,Arnold Fripp,Jr,7-Jun,200,27,Coppin State
51,6.536,Jamel Fuentes,Jr,4-Jun,190,28,Norfolk State
52,6.077,Daquan Brown,Sr,10-Jun,215,13,Bethune-Cookman
52,6.524,Devon Walker,Jr,4-Jun,215,21,Maryland-Eastern Shore
53,6.435,Issac Smith III,Jr,1-Jun,170,23,Maryland-Eastern Shore
54,6.393,Emmanuel Okoroba,Jr,8-Jun,225,28,Hampton
55,6.107,Emanuel Chapman,Sr,1-Jun,160,28,North Carolina Central
56,6.074,Alante Fenner,Fr,5-Jun,180,27,Savannah State
57,5.923,Daquan Brickhouse,Jr,8-May,170,26,Coppin State
58,5.857,Dwight Meikle,So,7-Jun,210,28,Hampton
59,5.833,Tony Kynard,Fr,1-Jun,160,30,Bethune-Cookman
60,5.654,Jordan Smith,So,3-Jun,170,26,South Carolina State
61,5.643,Solomon Mangham,Fr,7-Jun,210,28,Howard
62,5.63,Koran Wright,Fr,Jun-00,185,27,South Carolina State
63,5.37,Ishaq Pitt,Jr,3-Jun,210,27,Maryland-Eastern Shore
64,5.296,Ramon Mercado,Sr,4-Jun,205,27,Hampton
65,5.286,Keierre Richards,Jr,1-Jun,180,28,Savannah State
66,5.238,Francis Ezeiru,Sr,10-Jun,260,21,Maryland-Eastern Shore
67,5.143,Bobby King,Jr,7-Jun,220,28,Florida A&M
68,5.077,Devin Joint,So,4-Jun,190,26,South Carolina State
69,5.038,Dallas Gary,Jr,5-Jun,185,26,Coppin State
70,4.964,Reggie Groves,Sr,2-Jun,190,28,North Carolina Central
71,4.963,Riley Maye,Sr,8-Jun,220,27,Norfolk State
72,4.714,Ke`Ron Brown,So,3-Jun,215,28,Hampton
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,22.29,D.J. Balentine,So,2-Jun,210,31,Evansville
2,18.774,Desmar Jackson,Sr,5-Jun,180,31,Southern Illinois
3,17.774,Walt Lemon Jr.,Sr,3-Jun,180,31,Bradley
4,16.267,Richard Carter,Sr,11-May,177,30,Drake
5,15.806,Cleanthony Early,Sr,8-Jun,219,31,Wichita State
6,15.433,Seth Tuttle,Jr,8-Jun,232,30,Northern Iowa
7,15.133,Milton Doyle,Fr,4-Jun,180,30,Loyola (Chicago)
7,14.333,Marcus Marshall,So,3-Jun,190,12,Missouri State
8,14.933,Jarmar Gulley,Sr,5-Jun,218,30,Missouri State
9,14.645,Anthony Beane Jr.,So,2-Jun,180,31,Southern Illinois
10,13.467,Christian Thomas,Jr,5-Jun,220,30,Loyola (Chicago)
11,13.367,Daishon Knight,Jr,1-Jun,175,30,Illinois State
12,13.065,Ron Baker,So,3-Jun,213,31,Wichita State
13,12.967,Jake Odum,Sr,4-Jun,180,30,Indiana State
14,12.3,Deon Mitchell,Jr,1-Jun,194,30,Northern Iowa
15,11.935,Fred Van Vleet,So,11-May,194,31,Wichita State
16,11.71,Tyshon Pickett,Sr,6-Jun,230,31,Bradley
17,11.1,Khristian Smith,So,6-Jun,215,30,Indiana State
18,12.25,Gary Ricks Jr.,Sr,1-Jun,182,8,Drake
18,10.9,Manny Arop,Sr,5-Jun,215,30,Indiana State
19,10.8,Zach Lofton,So,4-Jun,200,30,Illinois State
20,10.667,Bobby Hunter,Jr,10-May,190,30,Illinois State
20,10.667,Nate Buss,Jr,9-Jun,216,27,Northern Iowa
22,10.387,Tekele Cotton,Jr,2-Jun,209,31,Wichita State
23,10.323,Omari Grier,So,4-Jun,180,31,Bradley
24,10.3,Aaron Hawley,Sr,8-Jun,197,30,Drake
25,10.2,Egidijus Mockevicius,So,10-Jun,225,30,Evansville
26,10.167,Dawon Cummings,Sr,3-Jun,175,30,Indiana State
27,10.033,Matt Bohannon,So,4-Jun,198,30,Northern Iowa
28,9.767,Justin Gant,Jr,9-Jun,230,30,Indiana State
29,9.567,Jeff White,So,1-Jun,183,30,Loyola (Chicago)
30,9.516,Blake Simmons,Fr,5-Jun,210,31,Evansville
31,9.29,Jalen Pendleton,So,2-Jun,205,31,Southern Illinois
32,8.633,Devon Turk,So,4-Jun,193,30,Loyola (Chicago)
33,8.613,Auston Barnes,Jr,8-Jun,215,31,Bradley
34,8.567,Austin Ruder,Fr,3-Jun,196,30,Missouri State
34,8.567,Chris Caird,Jr,6-Jun,215,30,Drake
36,8.333,Darius Carter,Jr,7-Jun,235,30,Wichita State
37,8.3,Wes Washpun,So,1-Jun,175,30,Northern Iowa
38,8.1,Reggie Lynch,Fr,10-Jun,230,30,Illinois State
39,7.452,Adam Wing,So,4-Jun,205,31,Evansville
40,7.065,Sean O`Brien,Fr,6-Jun,205,31,Southern Illinois
41,7.036,Ron Mvouika,Jr,6-Jun,201,28,Missouri State
42,7,Paris Lee,Fr,11-May,165,30,Illinois State
43,6.933,Nick Zeisloft,Fr,4-Jun,185,30,Illinois State
44,6.871,Duane Gibson,Fr,3-Jun,195,31,Evansville
45,6.2,Christian Kirk,Jr,8-Jun,218,30,Missouri State
46,5.967,Jeremy Morgan,Fr,5-Jun,195,30,Northern Iowa
47,5.9,John Jones,So,9-Jun,260,20,Illinois State
47,5.613,Chadrack Lufile,Sr,9-Jun,266,31,Wichita State
48,5.6,Joe Crisman,Jr,4-Jun,195,30,Loyola (Chicago)
49,5.433,Dorrian Williams,So,3-Jun,199,30,Missouri State
50,6,Ryan Sawvell,Jr,8-Jun,200,7,Evansville
50,5.333,Chip Rank,Sr,6-Jun,235,30,Northern Iowa
51,5.29,Nick Wiggins,Sr,6-Jun,192,31,Wichita State
52,5.269,Nick Osborne,So,8-Jun,220,26,Loyola (Chicago)
53,5.1,Devonte Brown,So,2-Jun,195,30,Indiana State
54,5,Seth VanDeest,Sr,11-Jun,269,30,Drake
55,4.806,Ka`Darryl Bell,So,1-Jun,195,31,Bradley
55,5.5,Michael Middlebrooks,So,9-Jun,210,4,Illinois State
56,4.724,Jacob Enevold Jensen,Fr,11-Jun,240,29,Drake
57,4.7,Trevor Berkeley,Jr,6-Jun,200,30,Drake
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,21.238,Dylon Cormier,Sr,3-Jun,184,21,Loyola (MD)
1,18.241,Kyle Wilson,So,4-Jun,190,29,Army
2,15.483,Cameron Ayers,Sr,5-Jun,205,29,Bucknell
3,15.267,Dave Dudzinski,Sr,9-Jun,227,30,Holy Cross
4,14.5,Murphy Burnatowski,Sr,7-Jun,230,28,Colgate
5,14.222,Jesse Reed,So,5-Jun,185,27,American University
6,13.536,Austin Tillotson,So,Jun-00,175,28,Colgate
7,13.419,Maurice Watson Jr.,So,10-May,165,31,Boston University
8,13.323,Mackey McKnight,Sr,Jun-00,170,31,Lehigh
9,13.194,Tim Kempton,Fr,10-Jun,225,31,Lehigh
10,13.179,Dan Trist,Jr,9-Jun,246,28,Lafayette
11,12.172,Tony Wroblicky,Sr,10-Jun,230,29,American University
12,12.133,D.J. Irving,Sr,Jun-00,165,30,Boston University
13,11.862,Worth Smith,Jr,6-Jun,202,29,Navy
14,11.759,John Schoof,Jr,5-Jun,205,29,American University
15,11.9,Tilman Dunbar,So,10-May,155,10,Navy
15,11.655,Ethan Jacobs,Jr,11-Jun,235,29,Colgate
16,11.464,Bryce Scott,So,3-Jun,188,28,Lafayette
17,11.414,Joey Ptasinski,Jr,2-Jun,174,29,Lafayette
18,11.345,Darius Gardner,Jr,9-May,165,29,American University
19,11.172,Damon Sherman-Newsom,Jr,5-Jun,205,29,Colgate
20,11.161,Dom Morris,Sr,7-Jun,240,31,Boston University
21,11.034,Brandon Venturini,Jr,Jun-00,184,29,Navy
22,10.931,Nick Lindner,Fr,10-May,161,29,Lafayette
23,10.857,Chris Hass,So,4-Jun,170,28,Bucknell
24,10.6,Malcolm Miller,Jr,6-Jun,190,30,Holy Cross
25,10.44,Tanner Plomb,So,7-Jun,200,25,Army
26,9.613,John Papale,So,3-Jun,190,31,Boston University
27,9.448,Dylan Cox,So,4-Jun,185,29,Army
28,9.379,Brian Fitzpatrick,Sr,8-Jun,238,29,Bucknell
29,9.37,Justin Burrell,Jr,9-May,165,27,Holy Cross
30,9.25,Anthony Thompson,Fr,10-May,150,28,Holy Cross
31,9.138,Kevin Ferguson,So,10-Jun,200,29,Army
32,8.935,Jesse Chuku,So,8-Jun,225,31,Lehigh
33,8.516,Corey Schaefer,Jr,1-Jun,175,31,Lehigh
34,8.484,Austin Price,Fr,3-Jun,175,31,Lehigh
35,8.346,R.J. Williams,Jr,9-May,155,26,Loyola (MD)
36,8.241,Eric Laster,So,6-Jun,195,29,Loyola (MD)
37,8.067,Eric Green,So,4-Jun,180,30,Holy Cross
38,7.931,Jarred Jones,So,7-Jun,192,29,Loyola (MD)
39,8.222,Pat Moore,Sr,5-Jun,200,9,Colgate
39,7.56,Ben Brackney,Sr,6-Jun,205,25,Bucknell
40,7.552,Jordan Latham,Sr,9-Jun,243,29,Loyola (MD)
41,6.833,Malachi Alexander,Fr,7-Jun,195,30,Holy Cross
42,6.75,Zach Fong,Fr,11-May,152,28,Navy
43,6.621,Steven Kaspar,Jr,3-Jun,193,29,Bucknell
44,6.172,Tyler Hubbard,So,2-Jun,180,29,Loyola (MD)
45,6.138,Luke Roh,Jr,5-Jun,195,29,Colgate
46,6.107,Franz Rassman,So,9-Jun,224,28,Loyola (MD)
47,6.065,Cedric Hankerson,Fr,5-Jun,190,31,Boston University
48,6.034,Kyle Kager,Jr,8-Jun,195,29,American University
49,5.966,Tanner Omlid,Fr,3-Jun,215,29,Army
50,5.839,Malik Thomas,Jr,7-Jun,190,31,Boston University
51,5.621,Josh Herbeck,Sr,3-Jun,190,29,Army
52,5.552,Kendall Knorr,So,3-Jun,197,29,Navy
53,5.484,Travis Robinson,Sr,5-Jun,190,31,Boston University
54,5.448,Dom Hoffman,So,7-Jun,216,29,Bucknell
55,5.323,Nathan Dieudonne,So,7-Jun,210,31,Boston University
56,5.069,Will Kelly,So,9-Jun,226,29,Navy
57,4.903,Justin Goldsborough,So,8-Jun,210,31,Lehigh
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,20.103,Jabari Brown,Jr,5-Jun,214,29,Missouri
2,19.852,Chris Denson,Sr,2-Jun,181,27,Auburn
3,19.31,Jordan McRae,Sr,6-Jun,185,29,Tennessee
4,19.154,Marshall Henderson,Sr,2-Jun,177,26,Ole Miss
5,18.786,Trevor Releford,Sr,Jun-00,190,28,Alabama
6,18.519,K.T. Harrell,Jr,4-Jun,216,27,Auburn
7,18.414,Jordan Clarkson,Jr,5-Jun,193,29,Missouri
8,17.241,Jarvis Summers,Jr,3-Jun,186,29,Ole Miss
9,15.536,Johnny O`Bryant III,Jr,9-Jun,256,28,LSU
10,15.483,Julius Randle,Fr,9-Jun,250,29,Kentucky
11,15.034,Brenton Williams,Sr,11-May,172,29,South Carolina
12,14.815,Casey Prather,Sr,6-Jun,212,27,Florida
13,14.586,James Young,Fr,6-Jun,215,29,Kentucky
14,14.345,Jarnell Stokes,Jr,8-Jun,260,29,Tennessee
15,14.172,Earnest Ross,Sr,5-Jun,228,29,Missouri
15,14.25,Eric McClellan,So,4-Jun,188,12,Vanderbilt
16,13.828,Aaron Harrison,Fr,6-Jun,218,29,Kentucky
17,13.786,Rod Odom,Sr,9-Jun,212,28,Vanderbilt
18,13.5,Jordan Mickey,Fr,8-Jun,220,28,LSU
19,13.414,Sindarius Thornwell,Fr,5-Jun,206,29,South Carolina
20,13.375,Scottie Wilbekin,Sr,2-Jun,176,24,Florida
21,13.321,Craig Sword,So,3-Jun,194,28,Mississippi State
22,13.185,Charles Mann,So,5-Jun,210,27,Georgia
23,13.077,Kenny Gaines,So,3-Jun,195,26,Georgia
24,12.897,Jamal Jones,Jr,8-Jun,197,29,Texas A&M
25,12.552,Bobby Portis,Fr,10-Jun,242,29,Arkansas
26,12.464,Rashad Madden,Jr,5-Jun,180,28,Arkansas
27,12.286,Michael Qualls,So,6-Jun,210,28,Arkansas
28,12.241,Michael Frazier II,So,4-Jun,199,29,Florida
29,11.571,Andre Stringer,Sr,10-May,190,28,LSU
30,11.429,Kyle Fuller,Sr,1-Jun,188,28,Vanderbilt
31,11.214,Damian Jones,Fr,10-Jun,235,28,Vanderbilt
32,11.069,Andrew Harrison,Fr,6-Jun,215,29,Kentucky
32,11.188,Tyrone Johnson,Jr,3-Jun,194,16,South Carolina
33,10.724,Patric Young,Sr,9-Jun,240,29,Florida
34,10.346,Jarell Martin,Fr,9-Jun,241,26,LSU
35,10.345,Gavin Ware,So,9-Jun,268,29,Mississippi State
36,10.31,Jeronne Maymon,Sr,8-Jun,260,29,Tennessee
37,9.741,Retin Obasohan,So,1-Jun,205,27,Alabama
38,9.724,Kourtney Roberson,Jr,9-Jun,244,29,Texas A&M
39,9.586,Roquez Johnson,Jr,7-Jun,210,29,Mississippi State
40,9.556,Tahj Shamsid-Deen,Fr,10-May,163,27,Auburn
40,9.556,Dorian Finney-Smith,So,8-Jun,212,27,Florida
42,9.552,Levi Randolph,Jr,5-Jun,205,29,Alabama
43,9.517,Coty Clarke,Sr,7-Jun,232,29,Arkansas
44,9.448,Josh Richardson,Jr,6-Jun,190,29,Tennessee
45,9.357,Anthony Hickey,Jr,11-May,182,28,LSU
46,9.207,Colin Borchert,Sr,8-Jun,231,29,Mississippi State
47,9.2,Brandon Morris,So,7-Jun,215,25,Georgia
48,9.107,Nemanja Djurisic,Jr,8-Jun,230,28,Georgia
49,8.821,Alandise Harris,Jr,6-Jun,237,28,Arkansas
49,8.821,Shavon Coleman,Sr,5-Jun,195,28,LSU
51,8.667,Fred Thomas,So,5-Jun,206,27,Mississippi State
52,8.464,Shannon Hale,Fr,8-Jun,220,28,Alabama
53,8.4,Nick Jacobs,Jr,8-Jun,245,25,Alabama
54,8.379,Alex Caruso,So,5-Jun,183,29,Texas A&M
55,8.179,Marcus Thornton,Jr,8-Jun,235,28,Georgia
56,7.759,Rodney Cooper,Jr,6-Jun,215,29,Alabama
57,7.741,Allen Payne,Sr,6-Jun,225,27,Auburn
58,7.655,Duane Notice,Fr,2-Jun,221,29,South Carolina
59,7.643,Dai-Jon Parker,Jr,3-Jun,190,28,Vanderbilt
60,7.621,Willie Cauley-Stein,So,Jul-00,244,29,Kentucky
61,7.571,James Siakam,Jr,7-Jun,215,28,Vanderbilt
62,7.517,LaDarius White,Jr,6-Jun,211,29,Ole Miss
63,7.414,Antonio Barton,Sr,2-Jun,178,29,Tennessee
64,7.357,Anthony Perez,So,9-Jun,213,28,Ole Miss
65,7.25,Davonte Fitzgerald,Fr,7-Jun,201,24,Texas A&M
66,7.222,Derrick Millinghaus,So,10-May,172,27,Ole Miss
67,7.138,Jordan Green,Jr,5-Jun,188,29,Texas A&M
68,6.793,Trivante Bloodman,Jr,Jun-00,182,29,Mississippi State
69,6.607,Michael Carrera,So,5-Jun,214,28,South Carolina
70,6.625,Josh Henderson,Jr,11-Jun,231,8,Vanderbilt
70,6.333,Anthlon Bell,So,3-Jun,188,27,Arkansas
71,6.31,Aaron Jones,Jr,9-Jun,220,29,Ole Miss
72,6.207,Alex Poythress,So,8-Jun,239,29,Kentucky
73,6.154,Fabyon Harris,Sr,11-May,178,26,Texas A&M
74,6,I.J. Ready,Fr,11-May,170,22,Mississippi State
74,6,Johnathan Williams I,Fr,9-Jun,208,29,Missouri
75,5,Stefan Jankovic,So,11-Jun,242,2,Missouri
76,5.704,Shawn Smith,Fr,4-Jun,192,27,Texas A&M
77,5.655,Antwan Space,So,8-Jun,224,29,Texas A&M
78,5.545,Kasey Hill,Fr,1-Jun,181,22,Florida
79,5.481,Asauhn Dixon-Tatum,Sr,Jul-00,226,27,Auburn
80,5.241,Will Yeguete,Sr,8-Jun,230,29,Florida
81,5.214,Donte` Williams,Sr,9-Jun,225,28,Georgia
82,5,Mindaugas Kacinas,So,7-Jun,210,29,South Carolina
83,4.793,Ryan Rosburg,So,10-Jun,252,29,Missouri
83,4.793,Sebastian Saiz,Fr,9-Jun,233,29,Ole Miss
86,5.5,Andre Applewhite,So,5-Jun,217,12,Mississippi State
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,20.577,Reger Dowell,Sr,1-Jun,183,26,Texas-Arlington
2,19.536,Shawn Long,So,9-Jun,245,28,Louisiana
3,18.966,Elfrid Payton,Jr,3-Jun,180,29,Louisiana
4,18.759,R.J. Hunter,So,5-Jun,185,29,Georgia State
5,17.103,Ryan Harrow,Jr,2-Jun,170,29,Georgia State
6,17.069,Augustine Rubit,Sr,7-Jun,230,29,South Alabama
7,16.32,Will Neighbour,Sr,10-Jun,225,25,Arkansas-Little Rock
8,16.208,Tylor Ongwae,Jr,7-Jun,205,24,Louisiana-Monroe
9,15.893,Brandon Edwards,Sr,6-Jun,224,28,Texas-Arlington
10,15.536,T.J. Price,Jr,4-Jun,215,28,Western Kentucky
11,15.481,Kirk Van Slyke,Sr,10-Jun,228,27,Arkansas State
12,14.815,Joel Wright,Sr,7-Jun,225,27,Texas State
13,14.536,Lonnie McClanahan,Jr,1-Jun,175,28,Texas-Arlington
14,14.519,Melvin Johnson III,Sr,6-Jun,168,27,Arkansas State
15,14.31,Manny Atkins,Sr,6-Jun,205,29,Georgia State
16,13.214,Amos Olatayo,Sr,4-Jun,200,14,Louisiana-Monroe
16,13.393,Hunter Williams,Sr,Jun-00,180,28,Troy
17,13.034,George Fant,Jr,6-Jun,245,29,Western Kentucky
18,11.964,Josh Hagins,So,1-Jun,175,28,Arkansas-Little Rock
19,11.643,Antoine Myers,Sr,3-Jun,190,28,Troy
20,11.552,Devonta White,Sr,11-May,170,29,Georgia State
21,11.24,James White,So,8-Jun,216,25,Arkansas-Little Rock
22,10.536,Jamel Outler,Jr,2-Jun,183,28,Texas-Arlington
23,10.214,Tevin Calhoun,Sr,7-Jun,209,28,Troy
24,10.138,Antoine Allen,Sr,1-Jun,180,29,South Alabama
25,10.042,Jayon James,Sr,6-Jun,225,24,Louisiana-Monroe
26,10.04,Kendrick Washington,Sr,7-Jun,256,25,Arkansas State
27,9.741,Brandon Reed,Sr,4-Jun,182,27,Arkansas State
28,9.357,Kevin Thomas,Jr,8-Jun,215,28,Troy
29,9.276,Mychal Ammons,Jr,6-Jun,225,29,South Alabama
30,9.241,Emani Gant,Fr,8-Jun,225,29,Texas State
31,9.214,Jeff Mullahey,Sr,3-Jun,185,28,Troy
32,9.034,Ken Williams,Fr,2-Jun,175,29,South Alabama
33,8.815,Ed Townsel,Sr,Jun-00,171,27,Arkansas State
33,8.815,Wesley Davis,Jr,3-Jun,185,27,Texas State
34,8.15,Kasey Shepherd,So,3-Jun,178,20,Louisiana
35,8.333,Cameron Golden,So,Jun-00,157,27,Arkansas State
36,8.091,Marvin Williams,Jr,8-Jun,245,22,Louisiana-Monroe
37,7.931,Xavian Rimmer,Jr,2-Jun,225,29,Louisiana
38,7.607,Curtis Washington,Jr,9-Jun,240,28,Georgia State
39,7.414,Barrington Stevens I,So,10-May,190,29,South Alabama
40,7.346,Ben Dillard,Jr,2-Jun,185,26,Arkansas-Little Rock
41,6.828,Phil Hawkins,Sr,Jun-00,195,29,Texas State
42,6.458,Nick Coppola,Fr,11-May,195,24,Louisiana-Monroe
43,6.379,Aakim Saintill,Fr,Jun-00,165,29,South Alabama
44,6.296,Leroy Isler,Sr,5-Jun,204,27,Arkansas-Little Rock
45,6.214,Reid Koenen,Sr,7-Jun,200,28,Texas State
46,6.2,Westley Hinton,Sr,8-Jun,205,25,Troy
47,6.143,Kavin Gilder-Tilbury,Fr,7-Jun,210,28,Texas State
47,6.5,J.T. Thomas,Jr,1-Jun,180,4,Arkansas-Little Rock
47,6.429,Raeford Worsham,So,5-Jun,190,7,Arkansas State
48,5.759,Kevin Brown,Jr,1-Jun,200,29,Louisiana
49,5.731,Brandon Harris,Sr,1-Jun,173,26,Western Kentucky
50,5.034,DeVonte Smith,Jr,11-May,165,29,Arkansas-Little Rock
51,4.917,Kemy Osse,So,1-Jun,208,24,Arkansas-Little Rock
52,4.741,Steven Wronkoski,So,5-Jun,190,27,Louisiana
53,4.63,Caden Dickerson,Sr,5-Jun,205,27,Western Kentucky
54,4.65,Aleksej Rostov,So,10-Jun,235,20,Western Kentucky
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,22.111,Aaric Murray,Sr,10-Jun,245,27,Texas Southern
2,16.286,LeAntwan Luckett,So,4-Jun,184,28,Alcorn State
3,15.5,Antwan Scott,Jr,1-Jun,180,20,Grambling State
4,15.44,Julysses Nobles,Sr,1-Jun,200,25,Jackson State
5,15.074,Montrael Scott,Jr,3-Jun,195,27,Prairie View A&M
6,14.542,A`Torri Shine,Jr,5-Jun,202,24,Grambling State
7,14.269,Jamel Waters,So,9-May,160,26,Alabama State
8,13.615,Marcel Mosley,Jr,Jun-00,180,26,Arkansas-Pine Bluff
9,13.321,Octavius Brown,Jr,8-Jun,210,28,Alcorn State
9,13.321,Calvin Godfrey,Jr,9-Jun,210,28,Southern University
11,12.88,Brandon West,Sr,10-Jun,235,25,Jackson State
12,12.714,Tevin Hammond,Jr,Jun-00,185,28,Arkansas-Pine Bluff
13,12.667,Jeremy Crutcher,Sr,8-May,160,24,Alabama A&M
14,12.621,Malcolm Miller,Sr,6-Jun,200,29,Southern University
15,12.429,DaVon Haynes,Sr,8-Jun,215,28,Arkansas-Pine Bluff
16,12.24,John Brisco,Jr,11-May,175,25,Prairie View A&M
17,12.077,Demondre Chapman,Sr,7-Jun,220,26,Prairie View A&M
18,11.966,Anthony McDonald,Jr,1-Jun,180,29,Mississippi Valley State
19,11.923,DeMarcus Robinson,Jr,10-May,165,26,Alabama State
20,11.667,Jose Rodriguez,Jr,7-Jun,215,27,Texas Southern
21,11.077,James Currington,Fr,6-Jun,186,26,Mississippi Valley State
22,10.571,DeAngelo Priar,Jr,3-Jun,182,28,Mississippi Valley State
23,10.321,Yondarius Johnson,Sr,4-Jun,190,28,Southern University
24,10.138,Tre Lynch,Sr,Jun-00,160,29,Southern University
25,10,Louis Munks,Sr,3-Jun,200,27,Prairie View A&M
26,9.821,Marquis Vance,Fr,7-Jun,225,28,Alcorn State
27,9.154,Bobby Brown,So,6-Jun,185,26,Alabama State
28,9.115,Brandon Graham,Jr,7-Jun,195,26,Alabama State
29,9,Javeres Brent,Fr,3-Jun,195,27,Jackson State
30,8.947,Remond Brown,Fr,3-Jun,200,19,Grambling State
31,8.69,Trelun Banks,Fr,1-Jun,170,29,Southern University
32,8.652,Demarquelle Tabb,Sr,5-Jun,210,23,Alabama A&M
33,8.577,Maurice Strong,Jr,5-Jun,210,26,Alabama State
34,8.519,Madarious Gibbs,Jr,Jun-00,180,27,Texas Southern
35,7.778,Shaunessy Smith,Sr,6-Jun,210,9,Alcorn State
35,7.714,Jordan Washington,Fr,10-May,174,28,Mississippi Valley State
36,7.577,Daniel Broughton,Jr,8-Jun,225,26,Arkansas-Pine Bluff
37,7.48,Brandon Ellis,Sr,3-Jun,200,25,Alabama A&M
38,7.444,DeAngelo Scott,Sr,7-Jun,215,27,Texas Southern
39,7.292,Jeff Stubbs,Sr,1-Jun,170,24,Jackson State
40,7.208,Chandler Thomas,Sr,6-Jun,220,24,Grambling State
41,7.148,Lawrence Johnson-Dan,Sr,4-Jun,180,27,Texas Southern
42,7,Luther Page,So,6-Jun,190,26,Alabama State
43,6.963,Derrell Taylor,Jr,6-Jun,200,27,Jackson State
44,6.842,Nicholas West,So,10-Jun,190,19,Alabama A&M
45,6.52,Green Hill,Sr,10-May,175,25,Alabama A&M
46,6.2,Arthur Capers,Sr,5-Jun,185,25,Alabama A&M
47,6.154,Devonte Hampton,So,1-Jun,170,26,Alcorn State
48,6.115,Ghiavonni Robinson,Fr,3-Jun,190,26,Arkansas-Pine Bluff
49,5.92,Twann Oakley,Sr,4-Jun,185,25,Alcorn State
50,5.692,Treshawn Hagood,Jr,2-Jun,175,26,Prairie View A&M
51,5.276,Javan Mitchell,Sr,9-Jun,250,29,Southern University
52,5.077,Hershey Robinson,Jr,7-Jun,220,26,Prairie View A&M
53,5.074,Treshawn Bolden,Fr,8-Jun,235,27,Jackson State
54,4.962,Terrance LeFlore,Fr,1-Jun,170,26,Alabama State
55,4.815,Aaron Clayborn,Sr,6-Jun,215,27,Texas Southern
56,4.654,Blake Ralling,Jr,6-Jun,211,26,Mississippi Valley State
