,team,games,opp_points,opp_ppg,ft,fta,ftp,gm,to,topg
189,Kennesaw St.,31.0,2304.0,74.3,408.0,628.0,65.0,31.0,494.0,15.9
190,Citadel,33.0,2453.0,74.3,473.0,655.0,72.2,33.0,412.0,12.5
191,IUPUI,32.0,2383.0,74.5,422.0,569.0,74.2,32.0,354.0,11.1
192,Canisius,33.0,2459.0,74.5,549.0,741.0,74.1,33.0,382.0,11.6
193,Oregon St.,30.0,2236.0,74.5,559.0,803.0,69.6,30.0,406.0,13.5
194,La.-Lafayette,31.0,2317.0,74.7,563.0,832.0,67.7,31.0,432.0,13.9
195,Idaho,31.0,2320.0,74.8,517.0,759.0,68.1,31.0,362.0,11.7
196,Southern Utah,29.0,2171.0,74.9,397.0,576.0,68.9,29.0,403.0,13.9
197,UMES,29.0,2173.0,74.9,484.0,674.0,71.8,29.0,364.0,12.6
198,Penn,27.0,2025.0,75.0,395.0,580.0,68.1,27.0,440.0,16.3
199,Coppin St.,29.0,2179.0,75.1,490.0,662.0,74.0,29.0,340.0,11.7
200,Delaware,33.0,2481.0,75.2,613.0,868.0,70.6,33.0,319.0,9.7
201,Tennessee St.,30.0,2265.0,75.5,500.0,714.0,70.0,30.0,371.0,12.4
202,DePaul,31.0,2347.0,75.7,500.0,734.0,68.1,31.0,426.0,13.7
203,UNC Asheville,32.0,2424.0,75.8,591.0,793.0,74.5,32.0,438.0,13.7
204,Rutgers,31.0,2355.0,76.0,474.0,673.0,70.4,31.0,376.0,12.1
205,Fairleigh Dickinson,31.0,2358.0,76.1,447.0,621.0,72.0,31.0,364.0,11.7
206,East Tenn. St.,33.0,2514.0,76.2,625.0,836.0,74.8,33.0,394.0,11.9
207,Samford,33.0,2521.0,76.4,468.0,692.0,67.6,33.0,421.0,12.8
208,McNeese St.,30.0,2292.0,76.4,433.0,625.0,69.3,30.0,388.0,12.9
209,Presbyterian,32.0,2445.0,76.4,358.0,529.0,67.7,32.0,398.0,12.4
210,New Orleans,26.0,1987.0,76.4,492.0,722.0,68.1,26.0,437.0,16.8
211,Chicago St.,31.0,2371.0,76.5,426.0,632.0,67.4,31.0,380.0,12.3
212,Houston Baptist,31.0,2373.0,76.5,460.0,672.0,68.5,31.0,485.0,15.6
213,Rider,31.0,2374.0,76.6,569.0,778.0,73.1,31.0,409.0,13.2
214,UMKC,29.0,2222.0,76.6,444.0,701.0,63.3,29.0,385.0,13.3
215,Sacred Heart,31.0,2378.0,76.7,449.0,655.0,68.5,31.0,378.0,12.2
216,UTSA,29.0,2225.0,76.7,563.0,814.0,69.2,29.0,457.0,15.8
217,BYU,32.0,2467.0,77.1,664.0,971.0,68.4,32.0,359.0,11.2
218,Loyola Marymount,32.0,2468.0,77.1,528.0,693.0,76.2,32.0,389.0,12.2
219,Oakland,33.0,2554.0,77.4,534.0,732.0,73.0,33.0,367.0,11.1
